strain_id,A_MTX_5-FC.HNM1_TPO1,A_MTX_Fluconazole.HNM1_TPO1,A_MTX_Metformin.HNM1_TPO1,A_MTX_Trifluoperazine.HNM1_TPO1,A_MTX_noDrug.HNM1_TPO1,A_noMTX_5-FC.HNM1_TPO1,A_noMTX_Fluconazole.HNM1_TPO1,A_noMTX_Metformin.HNM1_TPO1,A_noMTX_Trifluoperazine.HNM1_TPO1,A_noMTX_noDrug.HNM1_TPO1,B_MTX_5-FC.HNM1_TPO1,B_MTX_Fluconazole.HNM1_TPO1,B_MTX_Metformin.HNM1_TPO1,B_MTX_Trifluoperazine.HNM1_TPO1,B_MTX_noDrug.HNM1_TPO1,B_noMTX_5-FC.HNM1_TPO1,B_noMTX_Fluconazole.HNM1_TPO1,B_noMTX_Metformin.HNM1_TPO1,B_noMTX_Trifluoperazine.HNM1_TPO1,B_noMTX_noDrug.HNM1_TPO1,T0_noMTX_noDrug.HNM1_TPO1
657,15.0,9.0,53.0,10.0,11.0,22.0,30.0,65.0,33.0,25.0,22.0,8.0,39.0,22.0,13.0,45.0,34.0,27.0,29.0,40.0,14.0
658,6.0,3.0,65.0,4.0,5.0,270.0,44.0,69.0,1.0,129.0,22.0,0.0,85.0,8.0,8.0,180.0,22.0,97.0,223.0,55.0,65.0
66,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,0.0,4.0,5.0
660,13.0,8.0,12.0,11.0,9.0,6.0,101.0,9.0,5.0,2.0,25.0,12.0,10.0,14.0,6.0,8.0,69.0,7.0,3.0,5.0,3.0
666,298.0,2481.0,155.0,286.0,284.0,508.0,201.0,460.0,18.0,340.0,584.0,1144.0,178.0,701.0,287.0,400.0,391.0,286.0,396.0,162.0,114.0
667,94.0,729.0,229.0,231.0,78.0,172.0,231.0,273.0,18.0,117.0,240.0,112.0,99.0,279.0,223.0,224.0,994.0,163.0,192.0,87.0,23.0
668,26.0,14.0,57.0,16.0,5.0,54.0,28.0,27.0,10.0,55.0,53.0,2.0,17.0,16.0,6.0,43.0,48.0,38.0,122.0,39.0,31.0
673,3370.0,21.0,6244.0,6082.0,1046.0,8450.0,368.0,3371.0,379.0,2642.0,5695.0,216.0,2690.0,3259.0,1347.0,5698.0,459.0,3287.0,2891.0,1132.0,1851.0
674,13.0,30.0,130.0,29.0,10.0,18.0,96.0,36.0,14.0,14.0,22.0,10.0,89.0,62.0,10.0,37.0,55.0,22.0,34.0,21.0,6.0
676,3607.0,56.0,3689.0,4860.0,3360.0,3625.0,353.0,3071.0,54.0,2282.0,5915.0,24.0,3727.0,5012.0,4254.0,2596.0,1164.0,1759.0,3307.0,1746.0,450.0
677,0.0,1.0,7.0,2.0,0.0,8.0,13.0,20.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,18.0,6.0,10.0,15.0,21.0,5.0
683,2.0,1.0,6.0,0.0,1.0,11.0,5.0,16.0,16.0,7.0,1.0,1.0,3.0,1.0,1.0,9.0,4.0,7.0,13.0,2.0,5.0
685,3.0,2.0,49.0,0.0,4.0,748.0,546.0,473.0,8.0,321.0,7.0,0.0,60.0,7.0,0.0,517.0,594.0,313.0,388.0,184.0,171.0
689,444.0,19647.0,242.0,221.0,752.0,195.0,1.0,161.0,7.0,168.0,1055.0,65.0,193.0,902.0,856.0,108.0,92.0,68.0,54.0,75.0,27.0
690,192.0,66.0,263.0,40.0,49.0,41.0,61.0,53.0,22.0,20.0,207.0,11.0,128.0,100.0,31.0,47.0,111.0,67.0,26.0,23.0,10.0
692,2.0,2.0,15.0,1.0,0.0,169.0,15.0,255.0,13.0,115.0,1.0,1.0,13.0,1.0,0.0,76.0,25.0,74.0,156.0,63.0,83.0
693,11.0,41.0,55.0,25.0,11.0,17.0,1.0,13.0,13.0,12.0,25.0,7.0,39.0,30.0,11.0,22.0,3.0,5.0,15.0,9.0,8.0
695,100.0,15.0,156.0,73.0,57.0,45.0,232.0,97.0,32.0,36.0,119.0,1.0,137.0,130.0,56.0,52.0,341.0,57.0,57.0,53.0,7.0
697,3.0,0.0,17.0,12.0,1.0,13.0,45.0,47.0,14.0,11.0,10.0,0.0,16.0,10.0,4.0,34.0,31.0,22.0,16.0,20.0,12.0
