strain_id,A_MTX_5-FC.ERV25_UIP4,A_MTX_Fluconazole.ERV25_UIP4,A_MTX_Metformin.ERV25_UIP4,A_MTX_Trifluoperazine.ERV25_UIP4,A_MTX_noDrug.ERV25_UIP4,A_noMTX_5-FC.ERV25_UIP4,A_noMTX_Fluconazole.ERV25_UIP4,A_noMTX_Metformin.ERV25_UIP4,A_noMTX_Trifluoperazine.ERV25_UIP4,A_noMTX_noDrug.ERV25_UIP4,B_MTX_5-FC.ERV25_UIP4,B_MTX_Fluconazole.ERV25_UIP4,B_MTX_Metformin.ERV25_UIP4,B_MTX_Trifluoperazine.ERV25_UIP4,B_MTX_noDrug.ERV25_UIP4,B_noMTX_5-FC.ERV25_UIP4,B_noMTX_Fluconazole.ERV25_UIP4,B_noMTX_Metformin.ERV25_UIP4,B_noMTX_Trifluoperazine.ERV25_UIP4,B_noMTX_noDrug.ERV25_UIP4,T0_noMTX_noDrug.ERV25_UIP4
945,5.0,25.0,3.0,0.0,1.0,8.0,1.0,14.0,16.0,6.0,2.0,1.0,8.0,1.0,0.0,8.0,5.0,11.0,44,19.0,20.0
946,1.0,5.0,0.0,0.0,2.0,9.0,7.0,3.0,26.0,5.0,2.0,0.0,2.0,1.0,0.0,12.0,4.0,9.0,16,11.0,7.0
953,8.0,17.0,11.0,5.0,1.0,8.0,5.0,6.0,13.0,8.0,5.0,4.0,14.0,0.0,3.0,10.0,3.0,4.0,17,16.0,20.0
957,230.0,105.0,105.0,168.0,49.0,36.0,4.0,16.0,13.0,7.0,231.0,4.0,22.0,46.0,15.0,21.0,0.0,21.0,42,20.0,8.0
959,6.0,1.0,146.0,9.0,4.0,612.0,503.0,412.0,1804.0,829.0,9.0,3.0,92.0,7.0,5.0,580.0,83.0,628.0,2331,2222.0,667.0
960,29.0,4.0,57.0,28.0,55.0,10.0,0.0,11.0,14.0,3.0,54.0,0.0,51.0,27.0,16.0,14.0,8.0,9.0,35,7.0,4.0
962,3.0,12.0,6.0,50.0,1.0,49.0,16.0,13.0,33.0,14.0,3.0,2.0,4.0,3.0,2.0,15.0,14.0,7.0,32,24.0,11.0
966,3.0,0.0,12.0,6.0,0.0,59.0,25.0,28.0,73.0,34.0,4.0,0.0,5.0,1.0,0.0,55.0,36.0,47.0,129,33.0,63.0
967,27.0,50.0,122.0,7.0,7.0,68.0,4.0,28.0,47.0,32.0,24.0,25.0,115.0,11.0,9.0,97.0,15.0,38.0,109,53.0,8.0
972,444.0,112849.0,154.0,119.0,107.0,75.0,109.0,17.0,45.0,18.0,1030.0,2855.0,111.0,565.0,240.0,63.0,96.0,28.0,258,52.0,26.0
973,0.0,13.0,6.0,0.0,0.0,84.0,91.0,77.0,140.0,43.0,3.0,2.0,19.0,0.0,0.0,73.0,1.0,113.0,196,170.0,56.0
976,4.0,19.0,2.0,9.0,6.0,1.0,1.0,3.0,2.0,3.0,2.0,23.0,5.0,2.0,6.0,7.0,105.0,1.0,23,0.0,3.0
980,5.0,80.0,4.0,23.0,11.0,165.0,19.0,148.0,289.0,75.0,2.0,28.0,5.0,2.0,6.0,178.0,113.0,105.0,493,128.0,49.0
983,401.0,3888.0,1077.0,833.0,3243.0,46.0,9.0,18.0,34.0,29.0,747.0,1234.0,368.0,382.0,809.0,45.0,23.0,33.0,28,82.0,39.0
984,1.0,47.0,94.0,32.0,2.0,666.0,95.0,562.0,393.0,326.0,4.0,29.0,67.0,3.0,2.0,572.0,225.0,725.0,623,1086.0,215.0
985,0.0,1.0,3.0,1.0,1.0,5.0,14.0,8.0,15.0,2.0,1.0,2.0,3.0,0.0,0.0,3.0,2.0,17.0,17,14.0,1.0
987,63.0,19.0,583.0,14.0,11.0,81.0,14.0,66.0,67.0,8.0,81.0,1.0,280.0,33.0,10.0,41.0,12.0,56.0,151,87.0,50.0
99,400.0,50.0,697.0,270.0,260.0,186.0,127.0,49.0,175.0,82.0,667.0,16.0,253.0,143.0,284.0,170.0,11.0,169.0,207,220.0,94.0
991,2.0,1.0,10.0,13.0,1.0,475.0,24.0,603.0,488.0,230.0,4.0,0.0,8.0,2.0,1.0,479.0,80.0,641.0,991,222.0,54.0
992,0.0,1.0,25.0,6.0,0.0,351.0,206.0,221.0,339.0,113.0,1.0,0.0,11.0,0.0,2.0,466.0,635.0,360.0,766,486.0,119.0
996,205.0,19.0,53.0,72.0,169.0,43.0,33.0,7.0,65.0,20.0,360.0,17.0,51.0,55.0,229.0,27.0,59.0,14.0,80,123.0,49.0
998,5.0,19.0,1.0,1.0,0.0,6.0,7.0,8.0,20.0,0.0,1.0,5.0,0.0,1.0,1.0,30.0,13.0,8.0,12,2.0,9.0
