strain_id,A_MTX_5-FC.ERG11_TPO4,A_MTX_Fluconazole.ERG11_TPO4,A_MTX_Metformin.ERG11_TPO4,A_MTX_Trifluoperazine.ERG11_TPO4,A_MTX_noDrug.ERG11_TPO4,A_noMTX_5-FC.ERG11_TPO4,A_noMTX_Fluconazole.ERG11_TPO4,A_noMTX_Metformin.ERG11_TPO4,A_noMTX_Trifluoperazine.ERG11_TPO4,A_noMTX_noDrug.ERG11_TPO4,B_MTX_5-FC.ERG11_TPO4,B_MTX_Fluconazole.ERG11_TPO4,B_MTX_Metformin.ERG11_TPO4,B_MTX_Trifluoperazine.ERG11_TPO4,B_MTX_noDrug.ERG11_TPO4,B_noMTX_5-FC.ERG11_TPO4,B_noMTX_Fluconazole.ERG11_TPO4,B_noMTX_Metformin.ERG11_TPO4,B_noMTX_Trifluoperazine.ERG11_TPO4,B_noMTX_noDrug.ERG11_TPO4,T0_noMTX_noDrug.ERG11_TPO4
709,325.0,8.0,376.0,607.0,1318.0,62.0,11.0,98.0,329.0,65.0,120.0,360.0,390.0,258.0,2355.0,46.0,9.0,53.0,104.0,115.0,20.0
711,1.0,3.0,7.0,0.0,3.0,15.0,0.0,3.0,13.0,13.0,0.0,1.0,0.0,0.0,11.0,30.0,0.0,4.0,11.0,10.0,2.0
713,122.0,60.0,83.0,288.0,137.0,15.0,3.0,25.0,114.0,30.0,25.0,0.0,78.0,84.0,239.0,22.0,4.0,21.0,118.0,21.0,25.0
715,0.0,4.0,4.0,3.0,4.0,11.0,4.0,8.0,15.0,11.0,0.0,2.0,0.0,0.0,11.0,18.0,0.0,8.0,15.0,9.0,3.0
717,724.0,305.0,407.0,1601.0,1372.0,98.0,11.0,148.0,232.0,276.0,434.0,18.0,217.0,714.0,3621.0,235.0,12.0,111.0,371.0,283.0,72.0
721,5.0,22.0,247.0,26.0,12.0,66.0,161.0,134.0,225.0,310.0,0.0,126.0,127.0,3.0,110.0,208.0,33.0,160.0,95.0,407.0,9.0
724,5.0,20.0,20.0,50.0,16.0,13.0,7.0,20.0,86.0,5.0,7.0,1.0,15.0,7.0,157.0,23.0,4.0,17.0,9.0,19.0,5.0
727,1869.0,21.0,3766.0,981.0,1226.0,753.0,14.0,1144.0,625.0,494.0,544.0,1210.0,886.0,398.0,4887.0,472.0,16.0,458.0,446.0,746.0,144.0
729,2098.0,8741.0,4150.0,2734.0,2531.0,1170.0,490.0,1366.0,922.0,499.0,944.0,1290.0,1504.0,1319.0,7637.0,1032.0,43.0,684.0,964.0,1083.0,139.0
731,229.0,1484.0,10517.0,218.0,17.0,1686.0,975.0,3472.0,3175.0,1707.0,178.0,4.0,1864.0,52.0,30.0,2189.0,85601.0,1808.0,2286.0,1795.0,589.0
